n,design,distr,etaX1,etaX2,etaX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
20,2x3,norm,0.699468279346784,0.131267527213859,0.12638563774595,0.699468279346784,0.131267527213859,0.12638563774595,0.699394274601461,0.109046822171374,0.100630882200848,0.703443576306883,0.118747319553097,0.108315545317815,0.630802539956634,0.0994032573388734,0.135692042427657
20,2x3,norm,0.732565835563761,0.562418387125129,0.484515631407144,0.732565835563761,0.562418387125129,0.484515631407144,0.633457418283283,0.324056776002004,0.218896969368249,0.72703933256523,0.567838061057886,0.501691073717094,0.584770827634998,0.317584498685776,0.182330576619043
20,2x3,norm,0.0760127356500089,0.611553294726204,0.0642336410129941,0.0760127356500089,0.611553294726204,0.0642336410129941,0.11215939221844,0.648432258386395,0.0732886459324979,0.0867698626844801,0.642035478397793,0.0757331443993725,0.0755066999323406,0.605241947332113,0.0824501085661026
20,2x3,norm,0.719313363462234,0.804459566211875,0.0943337338875996,0.719313363462234,0.804459566211875,0.0943337338875996,0.688862567527404,0.777108540618845,0.0401537113193553,0.715561383962681,0.794168030533959,0.104419687133647,0.649248013209504,0.737767013527524,0.000540355954489244
20,2x3,norm,0.000244893774361443,0.451623009836751,0.581791723799627,0.000244893774361443,0.451623009836751,0.581791723799627,0.000306023090833228,0.357987394415438,0.540057377340082,9.26265342138777e-05,0.480041746748437,0.609929623237831,0.000342117540183996,0.431990273807947,0.581345568854612
20,2x3,norm,0.752349652369498,0.772273413745516,0.358358509344747,0.752349652369498,0.772273413745516,0.358358509344747,0.641213132399647,0.606416424051524,0.0531602022798523,0.718925540413806,0.677817858309529,0.385281810338164,0.610582258935264,0.584685575510619,0.040842194054784
20,2x3,norm,0.850403257499226,0.410592539861475,0.282325316765591,0.850403257499226,0.410592539861475,0.282325316765591,0.812803238823529,0.271080334139594,0.137604631242477,0.748519136555255,0.427359781216777,0.281630320463154,0.730244805318525,0.293342896589367,0.131520276614643
20,2x3,norm,0.907123042530193,0.0199215908091163,0.475257397718032,0.907123042530193,0.0199215908091163,0.475257397718032,0.851496623579361,0.00121166485933286,0.476313803011915,0.750204222260504,0.0250299449083224,0.49233029997067,0.77143293314521,0.00289154269544766,0.470839697373211
20,2x3,norm,0.812542176875681,0.497761921151005,0.225279269392498,0.812542176875681,0.497761921151005,0.225279269392498,0.816044052891069,0.402185240960018,0.0277083618249557,0.745005620827396,0.489544382317726,0.23268766521891,0.734491825298892,0.389945090415195,0.0413112928831866
20,2x3,norm,0.567783352878512,0.798339388928769,0.170077547446598,0.567783352878512,0.798339388928769,0.170077547446598,0.458687656216958,0.730909846031093,0.0449957034821672,0.600261446384386,0.663630297276577,0.173942302848378,0.460995558915122,0.687971681512665,0.0284977942225076
20,2x3,norm,0.769480171295256,0.75523981235052,0.0288466327182353,0.769480171295256,0.75523981235052,0.0288466327182353,0.729133129381484,0.694974959653865,0.029845526203535,0.736055450582287,0.700012817115051,0.0372471707530832,0.700182922710243,0.681958222044255,0.0397592021782585
20,2x3,norm,0.71820128358115,0.537978447348828,0.488068056410984,0.71820128358115,0.537978447348828,0.488068056410984,0.546037059035224,0.343570918357633,0.268604264727026,0.72625933630712,0.549778041509979,0.501394020153459,0.449363953371472,0.309071173228132,0.22512125176495
20,2x3,norm,0.000588086062584869,0.649070674023144,0.52662280881832,0.000588086062584869,0.649070674023144,0.52662280881832,0.0645664970634296,0.56140264391307,0.423182958502524,0.00120042765235107,0.626411685457882,0.542375048527767,0.0351491565230966,0.561291056673658,0.444365936700819
20,2x3,norm,0.601461523570867,0.799222486100853,0.0484363119651491,0.601461523570867,0.799222486100853,0.0484363119651491,0.549458066201116,0.788667443708238,0.0105320372226668,0.629033856929113,0.776047902111868,0.0434454529341602,0.547929113494955,0.76224039591299,0.0218137534159729
20,2x3,norm,0.843134069557667,0.00130846362578501,0.0356764109859648,0.843134069557667,0.00130846362578501,0.0356764109859648,0.754202069883684,0.0011179628359038,0.02528419946614,0.750219334958345,0.00148347277884796,0.0277746485200335,0.648413185975017,0.0025416993527434,0.0330615175479137
20,2x3,norm,0.537131073417029,0.80352218153416,0.541597951406386,0.537131073417029,0.80352218153416,0.541597951406386,0.459742825392906,0.814041254951961,0.451510598634364,0.561984909946567,0.733018416127595,0.557548795934549,0.338166812716059,0.75367972995693,0.419583497627799
20,2x3,norm,0.853083951660324,0.561297878335044,0.569993474558132,0.853083951660324,0.561297878335044,0.569993474558132,0.717526841946442,0.209627686919733,0.247885234057856,0.750318885526349,0.554891146165313,0.591083885193087,0.629448067264501,0.158004239954241,0.198842546606396
20,2x3,norm,0.429302881197015,0.697513781835685,0.00282110184479334,0.429302881197015,0.697513781835685,0.00282110184479334,0.429923005614346,0.704844179332521,0.025876287739093,0.446793832353052,0.686420763974182,0.00196293743315085,0.421201835214841,0.668234255430247,0.0125640027062498
20,2x3,norm,0.870376233958177,0.174447604977085,0.00865448053270449,0.870376233958177,0.174447604977085,0.00865448053270449,0.782910513328327,0.164651061592298,0.00467139844486145,0.750244871590033,0.156664012263067,0.00557905943789243,0.681493278467161,0.155966937128497,0.014866048607331
20,2x3,norm,0.838366516629745,0.372092506691818,0.256205425903404,0.838366516629745,0.372092506691818,0.256205425903404,0.800075213682278,0.281974644865314,0.156942457463789,0.746971060804338,0.387376573909879,0.26221122508127,0.714555511036374,0.262911716524063,0.159216514179785
