n,design,distr,etaX1,etaX2,etaX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
20,2x3,norm,0.796564753017441,0.356314112256591,0.042119168268053,0.796564753017441,0.356314112256591,0.042119168268053,0.793238011810116,0.352293321162331,0.0300873429033663,0.739610347048629,0.363571042340039,0.0317792350667549,0.699489487180639,0.31600785212993,0.00833090948182721
20,2x3,norm,0.68794919174456,0.73271439239566,0.0360834010987851,0.68794919174456,0.73271439239566,0.0360834010987851,0.654458879774082,0.703335853382548,0.0608219559039514,0.681813729882698,0.65688124497351,0.0443626925100048,0.60613944636561,0.660239654007201,0.0111943837982018
20,2x3,norm,0.163948723910026,0.766979511487283,0.0416047338357049,0.163948723910026,0.766979511487283,0.0416047338357049,0.159265726404772,0.72327634625588,0.0451946915684861,0.173639958598859,0.684285961915699,0.0427610960458688,0.143089266076571,0.654385209756699,0.0389919094447684
20,2x3,norm,0.835777738443595,0.0772015638190504,0.0161642567745647,0.835777738443595,0.0772015638190504,0.0161642567745647,0.76337701777039,0.0771356536932712,0.010563430806782,0.746723088396773,0.0865501664586804,0.0132830246883917,0.658104339157299,0.0699596784498375,0.0145405983542147
20,2x3,norm,0.429694345711789,0.822658976640099,0.0174844635447272,0.429694345711789,0.822658976640099,0.0174844635447272,0.387974403008161,0.76752488843117,0.0368333938656294,0.463956356854961,0.676495276939539,0.0176260121775154,0.375257066191838,0.704368622920655,0.00493877366483321
20,2x3,norm,0.846331234486394,0.621180892584873,0.026503824056867,0.846331234486394,0.621180892584873,0.026503824056867,0.861810833288257,0.608200188110686,0.017578330374069,0.750121894807906,0.622364361721525,0.0237281255057741,0.787649022040986,0.567472576082259,0.0364266658058253
20,2x3,norm,0.413256774085782,0.638781445198978,0.0381791892982855,0.413256774085782,0.638781445198978,0.0381791892982855,0.411091461788922,0.66171737700972,0.0784648219950232,0.44134793276327,0.598228455972901,0.0363254190385676,0.38937039114799,0.608900447338142,0.0318806293981176
20,2x3,norm,0.571683688548155,0.568983604890319,0.00882195850973841,0.571683688548155,0.568983604890319,0.00882195850973841,0.605052036027321,0.562894028620979,0.024139266737421,0.613181485462261,0.567819787585549,0.0147998949119887,0.571273214872443,0.545781648321937,0.0084668253894037
20,2x3,norm,0.885940200455316,0.551930506067649,0.004732544903339,0.885940200455316,0.551930506067649,0.004732544903339,0.862785255093756,0.565068897548392,0.00487014111632226,0.750257379962292,0.56530052774876,0.00287720706120506,0.788636355606836,0.539311334172706,0.0349253630672999
20,2x3,norm,0.70536271942072,0.847247989554296,0.0106809745520251,0.70536271942072,0.847247989554296,0.0106809745520251,0.662732942266131,0.828923655156213,0.0894445018654416,0.698506063257907,0.714862617784464,0.0166923247294313,0.60596766357681,0.769636628955209,0.0145873619485059
20,2x3,norm,0.263239850976754,0.745750728339557,0.0060962026848886,0.263239850976754,0.745750728339557,0.0060962026848886,0.265281659669516,0.707484062161354,0.0385501698023461,0.266203868858717,0.647437201985088,0.00781040227880637,0.270927544411637,0.651082715773698,0.0115599030542161
20,2x3,norm,0.711187043191646,0.865653654202698,0.0099513270946132,0.711187043191646,0.865653654202698,0.0099513270946132,0.692364876867065,0.866226566658867,0.0858881873221341,0.705132628685069,0.826592381460369,0.0128333043512692,0.645063672859037,0.8167987044353,0.0243023267444188
20,2x3,norm,0.247703013433885,0.297548331111749,0.0001050741148951,0.247703013433885,0.297548331111749,0.0001050741148951,0.23643172032033,0.276862797212507,0.00371517282214055,0.261872985179839,0.300559026178346,0.000186662652416091,0.249934016448376,0.297936641948083,0.00112014861506395
20,2x3,norm,0.35522959609589,0.771038004316025,0.00580726364557784,0.35522959609589,0.771038004316025,0.00580726364557784,0.321961020057299,0.744386426339274,0.00994728809041404,0.367741074704528,0.698637976700341,0.00800546290815309,0.328579196856323,0.693037354966349,0.0050805264280471
20,2x3,norm,0.158435214034541,0.195959168234586,0.00670672803176177,0.158435214034541,0.195959168234586,0.00670672803176177,0.16358929547795,0.192218386029022,0.0100189878380566,0.166961535895754,0.186079542986304,0.0069678412934744,0.167273592070427,0.199620609336511,0.00613406062289944
20,2x3,norm,0.651504391563642,0.279115202448319,0.0291914557828454,0.651504391563642,0.279115202448319,0.0291914557828454,0.676761462378788,0.255342699325849,0.0259639247633432,0.661277842272234,0.278165840116464,0.0232583186651271,0.619761512741665,0.276771521555195,0.0250201652214511
20,2x3,norm,0.874288602615157,0.557030006606682,0.00295178753515589,0.874288602615157,0.557030006606682,0.00295178753515589,0.861085896606641,0.55596848152844,0.000323681243405354,0.750366846013607,0.560679402570337,0.00173558864522778,0.776078751048575,0.507767845305297,0.00821259765778924
20,2x3,norm,0.456843935764107,0.747471076487035,0.00794877761381342,0.456843935764107,0.747471076487035,0.00794877761381342,0.445028902280962,0.754162837313137,0.0380872265867765,0.484017304802307,0.664301795896453,0.00977646368112493,0.428878823333816,0.695553995441623,0.00564977292591303
20,2x3,norm,0.412546154308729,0.780203513486177,0.00572815485284547,0.412546154308729,0.780203513486177,0.00572815485284547,0.440008419527429,0.74332781814258,0.0368240173061673,0.453353958257062,0.679519872043731,0.00184814277742388,0.429122924227119,0.695243763186842,0.0111266267296207
20,2x3,norm,0.89927233477245,0.378904251476221,0.0352941239942955,0.89927233477245,0.378904251476221,0.0352941239942955,0.830601193758493,0.379508509598387,0.0218423804797461,0.750107828000275,0.399280984153374,0.0284606787807366,0.742135701593619,0.368098995353045,0.0304529290163345
