n,design,distr,effectX1,effectX2,effectX1X2,etaX1,etaX2,etaX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
20,2x3,norm,-1.03889280930161,0.583054278045893,0,0.11802275798605,0.00463218401766815,0.012239942270964,0.11802275798605,0.00463218401766815,0.012239942270964,0.112673409489221,0.00320697564643569,0.0118156927512285,0.114764552698987,0.00231401145923757,0.0132671171813109,0.115813807491823,0.00585067368209196,0.0121021316267248
20,2x3,norm,-0.778806099668145,-1.63407986424863,0,0.0777084258211408,0.223963830077483,0.00543773352911652,0.0777084258211408,0.223963830077483,0.00543773352911652,0.0624875984891289,0.227373539493575,0.00564031202207993,0.0644288354932641,0.242333231078481,0.00613561843267984,0.0689853880428931,0.204720772518076,0.00281042356466848
20,2x3,norm,1.87486462574452,-1.51955895218998,0,0.284075919457718,0.103530322007697,0.00951095383162783,0.284075919457718,0.103530322007697,0.00951095383162783,0.273385572481819,0.0905578666897284,0.0123322984531585,0.295931492404139,0.118733751210626,0.0146182887585942,0.276714131941941,0.109074197938749,0.00978334393577376
20,2x3,norm,0.25058981589973,1.61641870066524,0,0.025218982863798,0.19872312982844,0.00122829418585447,0.025218982863798,0.19872312982844,0.00122829418585447,0.0300729968246209,0.199116159542556,0.00412395299273675,0.0200674906234003,0.197056567740283,0.00234446649831983,0.0244570395350349,0.203768974744389,0.001159751741317
20,2x3,norm,-0.875871824100614,-1.16227995604277,0,0.0777565814901656,0.156819222161423,0.00803675961669382,0.0777565814901656,0.156819222161423,0.00803675961669382,0.0539751778294719,0.140030626703317,0.00802212174517246,0.0710996167446273,0.148644904438116,0.00420657751754808,0.072587294811822,0.154317482970037,0.00743932516909577
20,2x3,norm,1.60490852501243,0.699721273966134,0,0.253540251834491,0.040164999230076,0.00770565215613559,0.253540251834491,0.040164999230076,0.00770565215613559,0.286704664955441,0.0313122876426656,0.00845815342708471,0.281904880630409,0.0469903874209138,0.0114660206797314,0.269504700813379,0.0393187543817873,0.0103632296324407
20,2x3,norm,-1.68926540575922,0.987220007926226,0,0.210494587320024,0.173298957652914,0.0462990207762804,0.210494587320024,0.173298957652914,0.0462990207762804,0.256435344307171,0.163353276996739,0.0414124092996225,0.218747547209914,0.161488171956136,0.0382391450642888,0.204345639391225,0.159937267075729,0.0452912006379391
20,2x3,norm,-0.979685335420072,-1.49115591216832,0,0.108085080015346,0.185592057557838,0.0392550063545162,0.108085080015346,0.185592057557838,0.0392550063545162,0.0786175470706787,0.188008221978214,0.0297270850440523,0.103282917920203,0.202038299701598,0.0434969244522576,0.101636146014206,0.189482168682952,0.0309806040172561
20,2x3,norm,0.680960092693567,0.0312918797135353,0,0.0608247387117735,0.00365825189183058,0.00968740087393952,0.0608247387117735,0.00365825189183058,0.00968740087393952,0.0502892283381369,0.00365806252263447,0.0102957669263965,0.0507903645235481,0.00566652909185678,0.0106513628418351,0.0594458174815156,0.00359864868389636,0.00988782385762899
20,2x3,norm,-0.339270886965096,-1.2575666969642,0,0.0216761318769196,0.180443019221185,0.0878059055052953,0.0216761318769196,0.180443019221185,0.0878059055052953,0.026648964636086,0.197027675879156,0.0949142620783136,0.0178101432095304,0.182583794599959,0.0845056240722635,0.0288657364488999,0.190939817220844,0.0876912435793725
